,id,player_name,team_title,games,time,goals,xG,xG_diff,assists,xA,xA_diff,shots,key_passes,yellow_cards,npg,npxG,xGChain,xGBuildup
399,3979,Ahmed Hegazy,West Bromwich Albion,1,90,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.18402814865112305,0.18402814865112305
400,3231,Kamil Grosicki,West Bromwich Albion,3,151,0,0.10924907773733139,-0.10924907773733139,1,0.5663558542728424,0.4336441457271576,3,3,0,0,0.10924907773733139,0.16501346230506897,0.017962073907256126
401,1750,Ainsley Maitland-Niles,West Bromwich Albion,15,1236,0,0.6947166435420513,-0.6947166435420513,0,0.740548849105835,-0.740548849105835,10,4,2,0,0.6947166435420513,3.5639228150248528,2.8032035380601883
402,1691,Robert Snodgrass,West Bromwich Albion,8,530,0,0.2063673846423626,-0.2063673846423626,0,0.5400325320661068,-0.5400325320661068,4,3,2,0,0.2063673846423626,0.814837571233511,0.15025337599217892
403,1689,Jake Livermore,West Bromwich Albion,18,1247,0,0.28153711929917336,-0.28153711929917336,0,0.1757232453674078,-0.1757232453674078,5,5,2,0,0.28153711929917336,2.1714075841009617,1.8604294564574957
404,1013,Sam Field,West Bromwich Albion,3,56,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
405,7326,Kayne Ramsay,Southampton,1,90,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.0,0.016576746478676796,0.016576746478676796
406,7280,Yan Valery,Southampton,3,95,0,0.2929137125611305,-0.2929137125611305,0,0.09160998463630676,-0.09160998463630676,2,1,0,0,0.2929137125611305,0.47032806277275085,0.17741435766220093
407,6923,Mohammed Salisu,Southampton,12,836,0,0.47843165323138237,-0.47843165323138237,0,0.17215737327933311,-0.17215737327933311,4,2,1,0,0.47843165323138237,2.2042923234403133,2.1540722399950027
408,1084,Jonjoe Kenny,Everton,4,81,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.24064451456069946,0.24064451456069946
409,876,Fabian Delph,Everton,8,249,0,0.014957983046770096,-0.014957983046770096,0,0.054449012503027916,-0.054449012503027916,1,2,1,0,0.014957983046770096,1.060617944225669,1.0171574261039495
410,741,Jordan Pickford,Everton,31,2742,0,0.0,0.0,0,0.021773621439933777,-0.021773621439933777,0,1,1,0,0.0,3.7141596572473645,3.6923860358074307
411,585,Seamus Coleman,Everton,25,1612,0,0.8948433343321085,-0.8948433343321085,3,1.507626404054463,1.492373595945537,12,19,0,0,0.8948433343321085,5.504014186561108,4.07946090772748
412,503,Theo Walcott,Everton,1,10,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
413,465,Joshua King,Everton,11,119,0,0.7881247904151678,-0.7881247904151678,0,0.0,0.0,3,0,0,0,0.7881247904151678,0.8868908192962408,0.7569956742227077
414,9415,Jaden Philogene-Bidace,Aston Villa,1,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.05604390427470207,0.05604390427470207
415,9356,Carney Chukwuemeka,Aston Villa,2,16,0,0.05604390427470207,-0.05604390427470207,0,0.0,0.0,1,0,0,0,0.05604390427470207,0.05604390427470207,0.0
416,8941,Jacob Ramsey,Aston Villa,22,593,0,0.5745489113032818,-0.5745489113032818,0,0.21190830320119858,-0.21190830320119858,11,6,0,0,0.5745489113032818,2.227643296122551,1.6948828250169754
