,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
138,689,Kenedy,13,1039,2,2.404399338,2,1.815445282,23,13,1,0,D M,Newcastle United,2,2.404399338,4.30187433,0.961196439,2017
139,712,Jack Cork,38,3420,2,1.695135253,1,0.779727893,16,18,7,0,M,Burnley,2,1.695135253,6.570965743,5.121951623,2017
140,723,Ki Sung-yueng,25,1869,2,0.845365043,2,1.774228713,20,19,2,0,M S,Swansea,2,0.845365043,2.705563207,1.472488705,2017
141,753,Marc Albrighton,34,2551,2,1.633181939,7,5.699214872,20,47,5,1,D F M S,Leicester,2,1.633181939,10.11559745,5.132042799,2017
142,775,Andros Townsend,36,3141,2,3.110421339,7,8.643188808,62,66,3,0,F M S,Crystal Palace,2,3.110421339,14.72000128,5.970383592,2017
143,804,Craig Dawson,28,2512,2,2.262337046,0,0.937591905,15,9,6,0,D,West Bromwich Albion,2,2.262337046,2.43901902,1.860924519,2017
144,807,Jonny Evans,28,2276,2,1.737643737,2,1.045009071,10,8,7,0,D S,West Bromwich Albion,2,1.737643737,3.967964116,3.889604313,2017
145,839,Shane Long,30,1566,2,3.991607195,1,1.311991367,32,20,6,0,F S,Southampton,2,3.991607195,6.259098265,1.762492771,2017
146,845,Maya Yoshida,24,2051,2,1.985939871,0,0.551286687,19,5,1,1,D S,Southampton,2,1.985939871,3.962636903,3.906387851,2017
147,875,Ciaran Clark,20,1744,2,2.171951316,1,0.951024737,11,4,3,0,D S,Newcastle United,2,2.171951316,3.395251708,2.942892188,2017
148,1042,Tom Davies,33,1901,2,1.484630261,1,0.650215626,21,10,7,0,M S,Everton,2,1.484630261,5.124073631,3.509912271,2017
149,1512,João Mário,13,1037,2,1.768228848,1,1.152997617,16,16,0,0,F M S,West Ham,2,1.768228848,3.532231592,1.078333296,2017
150,1659,Scott Arfield,18,1343,2,1.35606249,1,0.39938207,18,7,3,0,M S,Burnley,2,1.35606249,2.433103057,0.831615444,2017
151,1663,Johann Berg Gudmundsson,35,2845,2,2.947692367,8,5.046249182,52,68,2,0,M S,Burnley,2,2.947692367,8.00253238,3.811483211,2017
152,1678,Michy Batshuayi,12,342,2,1.336812066,1,0.093979731,13,1,0,0,F S,Chelsea,2,1.336812066,1.538355144,0.372941893,2017
153,1687,Harry Maguire,38,3420,2,2.309109236,4,4.55880136,29,18,8,0,D,Leicester,2,2.309109236,8.245753981,7.354841506,2017
154,1689,Jake Livermore,34,2677,2,2.638098847,2,1.529145013,15,20,5,0,M S,West Bromwich Albion,2,2.638098847,5.55338899,3.615989877,2017
155,1725,Christian Kabasele,28,2330,2,0.779991599,0,0.130109437,10,3,5,0,D S,Watford,2,0.779991599,2.81899065,2.701914789,2017
156,1727,Alfie Mawson,38,3420,2,2.505701404,1,0.564307593,19,5,3,0,D,Swansea,2,2.505701404,4.581940083,3.568123795,2017
157,1734,Sofiane Boufal,26,1198,2,1.634350318,2,1.709456157,30,21,1,0,M S,Southampton,2,1.634350318,4.961685363,2.19672155,2017
158,1735,Jack Stephens,22,1980,2,1.300827291,0,0.239197375,11,4,6,1,D,Southampton,2,1.300827291,2.7804796,2.55724226,2017
159,1737,Matt Phillips,30,2097,2,2.595402934,2,3.273461513,28,33,3,0,D F M S,West Bromwich Albion,2,2.595402934,5.739620658,2.127016548,2017
160,1738,Hal Robson-Kanu,21,811,2,1.898132125,0,0.406452956,19,8,2,1,F M S,West Bromwich Albion,2,1.898132125,2.854966322,0.889768519,2017
161,1746,Jeff Hendrick,34,2363,2,2.09227703,2,2.695710734,26,26,1,0,M S,Burnley,2,2.09227703,6.184883075,2.066745289,2017
162,1748,Lys Mousset,23,569,2,1.146490039,0,1.106688563,22,4,1,0,F M S,Bournemouth,2,1.146490039,1.826579427,0.702186657,2017
163,1764,Ramadan Sobhi,24,1227,2,1.070507962,0,0.99272861,13,15,2,0,D F M S,Stoke,2,1.070507962,3.505619884,1.783435484,2017
164,1822,Antonio Rüdiger,27,2337,2,2.069559094,1,0.501357436,16,3,4,0,D S,Chelsea,2,2.069559094,9.169896407,9.077279394,2017
165,2344,Christian Atsu,28,1777,2,3.96668621,2,2.780285079,35,24,1,0,M S,Newcastle United,2,3.96668621,8.168664582,2.442896372,2017
166,3429,Tiemoué Bakayoko,29,2118,2,3.448177544,2,1.316331273,40,16,3,1,M S,Chelsea,2,3.448177544,7.21115521,4.470838411,2017
167,3600,Serge Aurier,17,1432,2,0.767781586,2,2.642324068,15,15,1,1,D S,Tottenham,2,0.767781586,6.452093789,4.345898708,2017
168,3979,Ahmed Hegazy,38,3389,2,2.317947335,0,0.417417975,14,6,4,0,D,West Bromwich Albion,2,2.317947335,3.629150548,3.442799628,2017
